[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 10:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c49ea530 semaphore_wait_trap + 0
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 3  QQMusic                        0x000000010281dc40 -[ServerConnectivityChecker getResultConnectToHost:viaIp:resuseSession:source:timeout:] + 1272
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 4  QQMusic                        0x000000010281d700 -[ServerConnectivityChecker getResultConnectToHost:viaIp:resuseSession:source:] + 164
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 5  QQMusic                        0x000000010281d370 -[ServerConnectivityChecker isSuccConnectToHost:viaIp:source:] + 136
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 6  QQMusic                        0x0000000103a4e650 +[CGIExpressManager isIpConnectionOK:originHost:source:] + 408
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 7  QQMusic                        0x0000000103a4e1b0 __43-[CGIExpressManager tryToGetDNSAndServerIP]_block_invoke + 152
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 8  libdispatch.dylib              0x00000001963c9a80 0x00000001963c7000 + 10880
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 11:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a100a0 __workq_kernreturn + 4
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 12:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a100a0 __workq_kernreturn + 4
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 13:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a100a0 __workq_kernreturn + 4
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 14:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a100a0 __workq_kernreturn + 4
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 15 Name: AsynCall_Low_Priority
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 15:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a0f0c0 __psynch_cvsignal + 40
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 2  Foundation                     0x0000000197bb0320 0x0000000197a37000 + 1544992
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 16 Name: AsynCall_CacheFileNamager
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 16:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a0f0c0 __psynch_cvsignal + 40
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 2  Foundation                     0x0000000197bb0320 0x0000000197a37000 + 1544992
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 17 Name: AsynCall_FirstPiece
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 17:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a0f0c0 __psynch_cvsignal + 40
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 2  Foundation                     0x0000000197bb0320 0x0000000197a37000 + 1544992
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 18 Name: com.apple.uikit.eventfetch-thread
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 18:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c49ea4f0 host_self_trap + 8
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 19:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a0f0c0 __psynch_cvsignal + 40
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 3  Foundation                     0x0000000197bb0320 0x0000000197a37000 + 1544992
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 20:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a0f730 __semwait_signal + 4
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 3  vsCKey                         0x0000000119031c30 CloseWBAesKey + 335496
